,importance,feature
286,0.0012877631377443649,V233
398,0.0012296781055660694,id_06
424,0.0011887211519425183,id_32
152,0.0011756707770796053,V99
107,0.0011604491640711048,V54
223,0.0011367183943670862,V170
120,0.001101559114575211,V67
396,0.0010754595865925015,id_04
20,0.0010667770106295592,C5
423,0.0010553589969030971,id_31
108,0.0010298874914099975,V55
192,0.0009791840789887675,V139
39,0.0009734215633544315,D10
66,0.0009342364602735118,V13
384,0.0008982382253359035,V331
119,0.0008882389215602073,V66
379,0.0008848446099277911,V326
131,0.0008519395044639078,V78
367,0.00085049795138775,V314
230,0.0008210785447117645,V177
280,0.0008114272978027554,V227
153,0.0008086201485051428,V100
309,0.0008022599150125935,V256
302,0.0007922883192330967,V249
42,0.0007857596025633833,D13
14,0.0007685282596567387,P_emaildomain
181,0.000719847165945026,V128
366,0.0006386874930195088,V313
111,0.0006174600400362419,V58
253,0.0006152824959357612,V200
212,0.0005983518216509809,V159
41,0.0005912406115705391,D12
49,0.0005762005670372561,M5
327,0.0005605028035248006,V274
401,0.0005240186167492337,id_09
4,0.0005084403051795526,card1
211,0.0004947444959463792,V158
335,0.0004764289125380282,V282
43,0.00045194512279886345,D14
305,0.00045123365816396885,V252
343,0.00044914667158693996,V290
22,0.0004491327312161491,C7
35,0.0004357603459966603,D6
155,0.00043487143001668055,V102
30,0.00043187750284142166,D1
231,0.00039615595639396124,V178
218,0.00039553172798951683,V165
406,0.00038678953337137166,id_14
136,0.0003613627672542155,V83
273,0.0003605440418590776,V220
165,0.00035666570847521875,V112
101,0.000342979185217308,V48
325,0.00033663937767128505,V272
210,0.00033600768453474907,V157
196,0.00033084311443515335,V143
91,0.0003205811399058726,V38
264,0.000315153668937104,V211
251,0.000297544747729602,V198
117,0.00028360128805061106,V64
285,0.0002767989716392472,V232
73,0.00027431136386159283,V20
269,0.0002729422789243216,V216
315,0.0002602654902617693,V262
330,0.0002524004690394981,V277
397,0.00024525696658810216,id_05
324,0.00023966405183843074,V271
21,0.00023815307773682984,C6
306,0.0002168965378310877,V253
203,0.00021679801056503884,V150
412,0.0002162391462357161,id_20
287,0.00021492121759787223,V234
182,0.00020650242183141491,V129
431,0.00020420614757371225,DeviceType
332,0.0001877629824448915,V279
296,0.0001812264157831009,V243
312,0.0001700840529942735,V259
292,0.0001649423065152568,V239
128,0.00016205494243950655,V75
193,0.00015853108467147112,V140
261,0.0001582270640608169,V208
