,importance,feature
198,0.0007513398916860513,V145
95,0.0007257041196813323,V42
343,0.0007218421271639058,V290
60,0.0007199346539888,V7
321,0.0007144224830362867,V268
57,0.0007125905951370431,V4
400,0.0006978129267423481,id_08
287,0.0006935379373410552,V234
153,0.0006928640121037639,V100
342,0.0006771867180829291,V289
280,0.0006742895310868497,V227
22,0.0006668902000894285,C7
62,0.0006613904943606252,V9
282,0.0006598037722147235,V229
274,0.0006500079842121933,V221
426,0.0006446082166983347,id_34
317,0.0006393674224304429,V264
414,0.0006348609358510945,id_22
169,0.0006329846879703562,V116
268,0.0006226040212653884,V215
264,0.000618720214023723,V211
257,0.0006167305489103833,V204
396,0.0006161519478247098,id_04
225,0.0006152553487240642,V172
339,0.0006135642344132623,V286
345,0.0006126296438457874,V292
275,0.0006074803251833594,V222
333,0.0006057999337904451,V280
126,0.0005720795030045614,V73
403,0.0005709306912857517,id_11
356,0.0005652038667543494,V303
279,0.0005582498146244654,V226
326,0.0005550142654158265,V273
215,0.000552236669745986,V162
168,0.0005377344178150473,V115
218,0.0005332475283715346,V165
223,0.0005302044008044926,V170
316,0.000529110013894587,V263
45,0.0005174681998480442,M1
424,0.0005149627718617592,id_32
399,0.0005130225162057724,id_07
369,0.0005080814379972926,V316
224,0.0005064618244753573,V171
228,0.000502463879707942,V175
340,0.0004927811836103192,V287
429,0.0004907198788210861,id_37
123,0.000490644169139376,V70
231,0.0004885909946427079,V178
96,0.00048759551082425975,V43
144,0.00048161125676947554,V91
134,0.0004765990552809145,V81
285,0.00047277221721361005,V232
269,0.00046835997053059893,V216
259,0.00046396931544886587,V206
329,0.0004620578432989111,V276
337,0.000457061605842798,V284
271,0.0004554908331417606,V218
256,0.0004541929306572122,V203
255,0.0004487271450386772,V202
151,0.00044644679270141165,V98
137,0.0004460975570297336,V84
61,0.00044599165526689784,V8
386,0.0004305140265960128,V333
408,0.0004273150248306797,id_16
328,0.0004255795239231714,V275
145,0.0004245230623827998,V92
143,0.0004201287811758868,V90
331,0.0004139593122144774,V278
111,0.0004080858216371849,V58
372,0.00040727582392523996,V319
146,0.000406837862205689,V93
407,0.00039776197993257427,id_15
262,0.0003958190523880749,V209
243,0.0003789885069347942,V190
75,0.0003735763814697293,V22
314,0.00036969765270249036,V261
175,0.0003665754311106278,V122
216,0.00036596268711256433,V163
238,0.0003657951659728788,V185
319,0.0003646034145891607,V266
162,0.0003642725043943423,V109
325,0.0003603089549325347,V272
82,0.0003573579196590777,V29
307,0.0003567938186533863,V254
296,0.0003565606500221404,V243
83,0.000352734386612177,V30
270,0.0003504561049683593,V217
212,0.0003495801443383288,V159
92,0.0003494764321522481,V39
377,0.0003467743276980601,V324
312,0.00034663119375088775,V259
327,0.00034653682766872337,V274
413,0.00034652308391843064,id_21
376,0.0003462096245913438,V323
206,0.00034598931347958745,V153
297,0.0003390160746537702,V244
70,0.00033738719633239405,V17
309,0.00033338280929085093,V256
260,0.00033070986736238026,V207
166,0.00032658978776904234,V113
110,0.0003224293275051723,V57
247,0.0003219451933553464,V194
158,0.00032170219587428857,V105
346,0.00032018557903893275,V293
59,0.0003193774882593438,V6
352,0.0003192372580430496,V299
388,0.00031403980058746157,V335
416,0.0003136065369426558,id_24
205,0.00030784051201250583,V152
303,0.00030723295776022443,V250
313,0.0003049721355106684,V260
122,0.0003041829973706263,V69
125,0.0003039420271421074,V72
230,0.0003036656356511881,V177
300,0.00030270282706049443,V247
267,0.0003006409120632121,V214
304,0.00029430128805595795,V251
241,0.00028825086433447556,V188
301,0.0002841263720096836,V248
291,0.0002793121045316938,V238
219,0.00027849582094020223,V166
289,0.0002777011378882655,V236
357,0.0002771557991728199,V304
148,0.00027361067816643716,V95
94,0.0002715803611043846,V41
288,0.0002695586565472134,V235
204,0.0002674058628774242,V151
265,0.0002562623163310914,V212
348,0.00025600431966543285,V295
266,0.0002552114843774043,V213
167,0.0002534624175999555,V114
305,0.000252033920308351,V252
103,0.0002490052901811074,V50
324,0.0002467644744680376,V271
239,0.0002457150236293342,V186
273,0.00024391041171943314,V220
308,0.00024062666960925595,V255
418,0.00023643264596175166,id_26
237,0.0002341530157595707,V184
164,0.00023340594875848012,V111
177,0.00022840983189372982,V124
428,0.00022156326769191692,id_36
229,0.00021322165216556408,V176
154,0.00021214897021989103,V101
284,0.00021115428096198384,V231
11,0.00021013526235819929,addr2
178,0.00020662279049497704,V125
254,0.00020418658543415376,V201
74,0.00020292905718118114,V21
196,0.00020218784440455812,V143
350,0.00019900647551913313,V297
117,0.00019803637519496097,V64
293,0.00019652506897316257,V240
147,0.0001963406332614483,V94
353,0.0001960129290287803,V300
245,0.00019506533897132545,V192
272,0.00019503682749418745,V219
281,0.00018890001978192318,V228
292,0.00018489773276125388,V239
249,0.0001839859784514056,V196
