,importance,feature
187,0.0,V134
186,0.0,V133
185,0.0,V132
184,0.0,V131
183,0.0,V130
181,0.0,V128
180,0.0,V127
179,0.0,V126
178,0.0,V125
177,0.0,V124
200,0.0,V147
201,0.0,V148
203,0.0,V150
204,0.0,V151
228,0.0,V175
227,0.0,V174
226,0.0,V173
225,0.0,V172
224,0.0,V171
223,0.0,V170
222,0.0,V169
221,0.0,V168
220,0.0,V167
219,0.0,V166
217,0.0,V164
215,0.0,V162
214,0.0,V161
213,0.0,V160
212,0.0,V159
211,0.0,V158
210,0.0,V157
209,0.0,V156
208,0.0,V155
207,0.0,V154
206,0.0,V153
176,0.0,V123
175,0.0,V122
174,0.0,V121
148,0.0,V95
146,0.0,V93
145,0.0,V92
144,0.0,V91
143,0.0,V90
142,0.0,V89
141,0.0,V88
140,0.0,V87
139,0.0,V86
138,0.0,V85
137,0.0,V84
136,0.0,V83
135,0.0,V82
134,0.0,V81
133,0.0,V80
132,0.0,V79
131,0.0,V78
130,0.0,V77
129,0.0,V76
128,0.0,V75
127,0.0,V74
126,0.0,V73
147,0.0,V94
150,0.0,V97
173,0.0,V120
151,0.0,V98
172,0.0,V119
171,0.0,V118
170,0.0,V117
169,0.0,V116
168,0.0,V115
167,0.0,V114
166,0.0,V113
165,0.0,V112
164,0.0,V111
163,0.0,V110
162,0.0,V109
161,0.0,V108
160,0.0,V107
159,0.0,V106
158,0.0,V105
157,0.0,V104
156,0.0,V103
155,0.0,V102
154,0.0,V101
153,0.0,V100
152,0.0,V99
432,0.0,DeviceInfo
