,importance,feature
150,0.0026017548455024605,V97
109,0.0025927516559431972,V56
88,0.0025854235207271093,V35
89,0.002550152726317368,V36
177,0.0025489764518164953,V124
431,0.002545488283083654,DeviceType
345,0.0025036503383597166,V292
47,0.0024919574074663965,M3
240,0.0024834348033942336,V187
318,0.002460690452331534,V265
179,0.002439116224520599,V126
349,0.002433829435899271,V296
100,0.002415747333241932,V47
37,0.002410174051432921,D8
337,0.0024096316882294645,V284
315,0.0023656924896424134,V262
187,0.0023641531044639405,V134
362,0.002316641729219558,V309
373,0.0022977951291727576,V320
401,0.0022795901347550723,id_09
20,0.0022616701847917057,C5
90,0.0022549936172966104,V37
13,0.002252463800071539,dist2
108,0.002213862519144533,V55
422,0.002213250285280668,id_30
430,0.002203747604656443,id_38
395,0.002192635716076437,id_03
312,0.0021754804586312615,V259
409,0.002154147952692976,id_17
369,0.0021355145176469754,V316
308,0.0021267126648478983,V255
284,0.002116436981998327,V231
351,0.0020696240175319324,V298
313,0.002063184919887645,V260
332,0.002037769301958587,V279
46,0.0020321363113233767,M2
127,0.002013449501314527,V74
58,0.002009071590405971,V5
278,0.0020034387934247957,V225
22,0.001990468888975273,C7
307,0.0019779946061385073,V254
153,0.001963319096540705,V100
3,0.001954392768286608,ProductCD
201,0.0019349043287328089,V148
57,0.001925552433873499,V4
346,0.0018928459380068625,V293
99,0.0018920141326416525,V46
143,0.001888753142000228,V90
43,0.0018628215405368544,D14
343,0.001842554128929036,V290
317,0.0018367524602176215,V264
168,0.0018316392881219626,V115
232,0.0017959287330417306,V179
239,0.001794411353817426,V186
302,0.0017921810708755336,V249
264,0.0017683349727196853,V211
104,0.0017536577590790074,V51
185,0.0017486284475264336,V132
156,0.00173724168469635,V103
35,0.0017349662658184735,D6
425,0.001701978507843572,id_33
202,0.0017001539278472064,V149
79,0.0016753261802902632,V26
189,0.0016723556589801046,V136
158,0.001653874724025814,V105
406,0.0016409240111337708,id_14
148,0.0016315631368910885,V95
314,0.0016237341338966112,V261
221,0.0016231183000190257,V168
119,0.0016173571651564036,V66
182,0.0016137726104001426,V129
82,0.001604473501781316,V29
